#  
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-03-01T19:28:57 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to: cds-question@unistra.fr
# 
#   
#Coosys J2000: eq_FK5 J2000 
#INFO votable-version=1.99+ (14-Oct-2013) 
#INFO -ref=VIZ5c7987698e15 
#INFO -out.max=unlimited 
#INFO queryParameters=20 
#-oc.form=sexa
#-out.max=unlimited
#-nav=cat:J/AJ/140/631&tab:{J/AJ/140/631/catalog}&key:source=J/AJ/140/631&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/AJ/140/631/catalog
#-order=I
#-out=Seq
#-out=RAJ2000
#-out=DEJ2000
#-out=F225W
#-out=F275W
#-out=F336W
#-out=F435W
#-out=F606W
#-out=F625W
#-out=F658N
#-out=F814W
#

#RESOURCE=yCat_51400631
#Name: J/AJ/140/631
#Title: HST WFC3/UVIS photometry of omega Cen core (Bellini+, 2010)
#Coosys J2000_2003.290: eq_FK5 J2000    
#Table J_AJ_140_631_catalog:
#Name: J/AJ/140/631/catalog
#Title: Astrometric and photometric parameters for 32514 objects (Table 3 of the paper)
#---Details of Columns:
    Seq           (I5)    [1/32514] Star sequential number [ucd=meta.record]
    RAJ2000 (deg) (F11.7) Right ascension (J2000, Epoch J2003.29) [ucd=pos.eq.ra;meta.main]
    DEJ2000 (deg) (F11.7) Declination (J2000, Epoch J2003.29) [ucd=pos.eq.dec;meta.main]
    F225W (mag)   (F6.3)  HST F225W Vega-mag magnitude [ucd=phot.mag;em.UV]
    F275W (mag)   (F6.3)  HST F275W Vega-mag magnitude [ucd=phot.mag;em.UV.200-300nm]
    F336W (mag)   (F6.3)  HST F336W Vega-mag magnitude [ucd=phot.mag;em.opt.U]
    F435W (mag)   (F6.3)  HST F435W Vega-mag magnitude [ucd=phot.mag;em.opt.B]
    F606W (mag)   (F6.3)  HST F606W Vega-mag magnitude [ucd=phot.mag;em.opt.R]
    F625W (mag)   (F6.3)  HST F625W Vega-mag magnitude [ucd=phot.mag;em.opt.R]
    F658N (mag)   (F6.3)  HST F658N Vega-mag magnitude [ucd=phot.mag;em.opt.R]
    F814W (mag)   (F6.3)  HST F814W Vega-mag magnitude [ucd=phot.mag;em.opt.I]
----- ----------- ----------- ------ ------ ------ ------ ------ ------ ------ ------
   23 201.7150132 -47.5116557 21.454 20.462 19.499 19.401 18.581 18.401 18.195 17.989
   24 201.7156504 -47.5116322 21.984 20.689 19.425 19.159 18.245 18.014 17.802 17.639
   25 201.7170388 -47.5116203 20.979 20.139 19.397 19.435 18.718 18.527 18.325 18.198
   26 201.7115477 -47.5116170 21.190 20.346 19.481 19.585 18.822 18.618 18.418 18.244
   27 201.7169432 -47.5115782 20.680 19.837 18.979 18.998 18.242 18.041 17.820 17.681
   28 201.7164404 -47.5114986 20.608 19.754 19.008 19.044 18.305 18.124 17.931 17.733
   29 201.7131690 -47.5115041 22.564 21.478 20.450 20.460 19.589 19.366 19.127 18.934
   30 201.7155660 -47.5114813 23.117 21.891 20.718 20.619 19.673 19.430 19.215 19.022
   31 201.7112112 -47.5114883 24.047 22.611 21.241 21.103 20.115 19.884 19.642 19.382
   32 201.7106897 -47.5114266 20.887 20.065 19.288 19.340 18.583 18.407 18.208 18.014
   33 201.7134593 -47.5113552 23.485 22.304 21.150 21.041 20.087 19.878 19.652 19.407
   34 201.7099229 -47.5113585 23.778 22.441 21.268 21.076 20.115 19.914 19.678 19.462
   35 201.7152534 -47.5113358 24.521 23.082 21.542 21.344 20.258 20.026 19.786 19.564
   36 201.7165984 -47.5112155 21.476 20.614 19.828 19.901 19.138 18.922 18.729 18.569
   37 201.7124932 -47.5111948 23.237 22.092 20.925 20.864 19.831 19.632 19.387 19.137
   38 201.7167207 -47.5111467 20.513 19.699 18.887 18.921 18.175 17.987 17.794 17.606
   39 201.7121580 -47.5111485 22.479 21.394 20.493 20.513 19.647 19.475 19.243 19.016
   40 201.7114502 -47.5111421 24.630 23.286 21.678 21.487 20.362 20.147 19.910 19.627
   41 201.7086566 -47.5111567 22.922 21.718 20.775 20.687 19.812 19.584 19.364 19.136
   42 201.7160077 -47.5110592 20.684 19.872 19.052 19.086 18.342 18.157 17.938 17.761
   43 201.7130021 -47.5110267 22.892 21.820 20.724 20.587 19.684 19.465 19.265 19.065
   44 201.7112417 -47.5109551 22.518 21.450 20.346 20.298 19.396 19.179 18.966 18.752
   45 201.7090805 -47.5109664 22.157 21.188 20.216 20.168 19.276 19.109 18.886 18.626
   46 201.7161970 -47.5108874 23.813 22.673 21.450 21.199 20.169 19.975 19.741 19.544
   47 201.7173477 -47.5108389 24.202 22.854 21.419 21.267 20.253 19.994 19.772 19.537
   48 201.7122356 -47.5108385 22.740 21.729 20.614 20.609 19.693 19.475 19.248 19.011
   49 201.7169671 -47.5108191 21.541 20.635 19.788 19.856 19.027 18.856 18.649 18.439
   50 201.7087379 -47.5108339 22.555 21.492 20.530 20.552 19.687 19.473 19.266 19.039
   51 201.7100463 -47.5107421 22.102 21.078 20.292 20.309 19.478 19.287 19.058 18.874
   52 201.7074862 -47.5107428 22.617 21.570 20.484 20.409 19.543 19.324 19.105 18.944
   53 201.7169717 -47.5106369 20.782 19.975 19.229 19.332 18.627 18.440 18.267 18.098
   54 201.7082571 -47.5106588 21.403 20.542 19.707 19.781 19.014 18.796 18.595 18.410
   55 201.7160476 -47.5106204 21.874 20.945 20.041 20.000 19.181 18.993 18.778 18.571
   56 201.7152718 -47.5106356 21.965 20.959 19.866 19.832 18.913 18.714 18.491 18.275
   57 201.7146019 -47.5106174 20.767 19.940 19.170 19.244 18.474 18.310 18.111 17.869
   58 201.7135341 -47.5106083 22.867 21.724 20.646 20.498 19.569 19.412 19.213 18.962
   59 201.7119341 -47.5106070 22.130 21.110 20.244 20.266 19.411 19.215 19.016 18.784
   60 201.7163928 -47.5105851 20.987 20.155 19.363 19.435 18.686 18.488 18.306 18.107
   61 201.7061336 -47.5105641 21.610 20.678 19.867 19.911 19.131 18.937 18.746 18.508
   62 201.7169583 -47.5105188 21.303 20.424 19.658 19.723 18.988 18.789 18.591 18.422
   63 201.7095038 -47.5105123 23.708 22.457 21.369 21.218 20.248 20.035 19.796 19.561
   64 201.7125051 -47.5104919 24.320 22.930 21.713 21.519 20.476 20.237 19.977 19.776
   65 201.7078625 -47.5104841 24.464 22.917 21.741 21.529 20.383 20.234 19.972 19.586
   66 201.7176056 -47.5104437 24.271 23.090 21.658 21.329 20.283 20.083 19.852 19.625
   67 201.7170557 -47.5104371 21.462 20.581 19.696 19.828 19.030 18.834 18.614 18.434
   68 201.7161851 -47.5104479 23.405 22.239 21.056 21.028 20.013 19.791 19.545 19.311
   69 201.7127220 -47.5104453 21.146 20.317 19.505 19.502 18.760 18.539 18.349 18.178
   70 201.7073416 -47.5104345 22.838 21.745 20.481 20.428 19.513 19.249 18.987 18.849
   71 201.7151952 -47.5103615 21.683 20.760 19.869 19.953 19.115 18.927 18.709 18.492
   72 201.7061150 -47.5103693 23.949 22.601 21.449 21.321 20.300 20.047 19.825 19.617
   73 201.7043658 -47.5103708 21.809 20.878 19.872 19.877 19.023 18.851 18.625 18.420
   74 201.7091039 -47.5102771 21.679 20.701 19.808 19.739 18.932 18.745 18.548 18.325
   75 201.7053005 -47.5102987 22.139 21.211 20.223 20.230 19.377 19.164 18.956 18.741
   76 201.7136266 -47.5102457 22.082 21.098 20.179 20.145 19.362 19.104 18.880 18.759
   77 201.7055956 -47.5102114 22.635 21.637 20.679 20.659 19.791 19.575 19.352 19.159
   78 201.7051037 -47.5101917 21.738 20.798 20.018 20.083 19.303 19.090 18.899 18.747
   79 201.7038626 -47.5101772 21.989 20.974 20.068 20.169 19.329 19.137 18.916 18.692
   80 201.7044846 -47.5101402 21.461 20.629 19.816 19.884 19.132 18.933 18.728 18.559
   81 201.7045855 -47.5101107 20.880 20.020 19.184 19.160 18.389 18.193 17.975 17.801
   82 201.7170448 -47.5100465 22.454 21.554 20.530 20.482 19.676 19.423 19.198 19.054
   83 201.7084619 -47.5100381 22.817 21.652 20.613 20.617 19.704 19.495 19.257 19.042
   84 201.7051781 -47.5100375 22.113 21.167 20.199 20.254 19.401 19.204 18.987 18.758
   85 201.7177203 -47.5100011 20.809 19.989 19.247 19.278 18.554 18.367 18.167 18.017
   86 201.7102819 -47.5099963 22.556 21.471 20.529 20.470 19.623 19.410 19.183 19.012
   87 201.7029971 -47.5099977 24.442 23.204 21.685 21.424 20.371 20.136 19.898 19.608
   88 201.7062368 -47.5099845 20.806 19.975 19.275 19.325 18.600 18.423 18.217 18.057
   89 201.7133489 -47.5099386 24.161 22.685 21.370 21.200 20.171 19.950 19.721 19.455
   90 201.7123023 -47.5099400 21.857 20.900 20.084 20.124 19.331 19.133 18.938 18.772
   91 201.7154263 -47.5099190 21.689 20.770 19.911 19.910 19.120 18.931 18.710 18.540
   92 201.7088608 -47.5099270 21.390 20.482 19.559 19.586 18.755 18.568 18.362 18.146
   93 201.7114693 -47.5099121 20.334 19.527 18.770 18.790 18.059 17.869 17.714 17.496
   94 201.7036633 -47.5099271 24.028 22.734 21.253 21.166 20.195 19.935 19.669 19.481
   95 201.7023705 -47.5099296 21.386 20.508 19.664 19.746 18.982 18.779 18.577 18.378
   96 201.7137065 -47.5098808 22.000 21.005 20.137 20.102 19.299 19.096 18.901 18.697
   97 201.7124016 -47.5098775 20.729 19.948 19.188 19.266 18.527 18.351 18.159 17.952
   98 201.7086430 -47.5098636 21.643 20.713 19.752 19.802 18.959 18.771 18.560 18.349
   99 201.7070579 -47.5098559 21.437 20.568 19.685 19.633 18.843 18.653 18.452 18.260
  100 201.7055321 -47.5098618 22.707 21.640 20.543 20.549 19.651 19.442 19.204 18.980
  101 201.7038933 -47.5098568 21.372 20.483 19.567 19.616 18.816 18.629 18.406 18.199
  102 201.7081388 -47.5098278 21.154 20.235 19.432 19.419 18.653 18.464 18.254 18.064
  103 201.7058786 -47.5098221 21.083 20.201 19.482 19.515 18.770 18.597 18.375 18.196
  104 201.7134013 -47.5097930 20.829 19.942 19.135 19.190 18.438 18.243 18.045 17.860
  105 201.7033044 -47.5098204 24.308 22.903 21.507 21.242 20.200 19.963 19.716 19.439
  106 201.7147687 -47.5097710 20.341 19.552 18.854 18.870 18.129 17.951 17.756 17.551
  107 201.7084030 -47.5097971 21.548 20.672 19.797 19.825 19.015 18.814 18.593 18.406
  108 201.7056674 -47.5098101 20.336 19.542 18.827 18.851 18.153 17.967 17.785 17.598
  109 201.7068284 -47.5097712 22.372 21.333 20.401 20.440 19.566 19.383 19.150 18.950
  110 201.7017842 -47.5097552 21.542 20.651 19.825 19.810 19.029 18.840 18.636 18.389
  111 201.7132178 -47.5097269 20.539 19.705 18.895 18.923 18.181 17.992 17.792 17.607
  112 201.7047444 -47.5097399 23.884 22.520 21.209 21.077 20.066 19.840 19.584 19.349
  113 201.7077843 -47.5097101 22.317 21.263 20.286 20.329 19.462 19.238 19.017 18.804
  114 201.7060161 -47.5096788 22.362 21.277 20.365 20.323 19.485 19.285 19.086 18.876
  115 201.7081704 -47.5096645 24.587 23.328 21.840 21.494 20.410 20.178 19.921 19.696
  116 201.7072021 -47.5096572 22.462 21.515 20.451 20.484 19.620 19.402 19.185 18.961
  117 201.7123696 -47.5096280 21.954 20.971 20.158 20.206 19.409 19.206 19.005 18.787
  118 201.7045885 -47.5096364 21.832 20.877 20.043 20.079 19.296 19.105 18.877 18.713
  119 201.7177745 -47.5095575 22.039 21.039 20.213 20.257 19.455 19.243 19.039 18.840
  120 201.7069603 -47.5095870 20.764 19.971 19.205 19.275 18.545 18.357 18.162 17.982
  121 201.7044334 -47.5095818 21.196 20.313 19.593 19.652 18.925 18.717 18.521 18.342
  122 201.7024399 -47.5095867 21.643 20.707 19.858 19.908 19.133 18.941 18.732 18.533
  123 201.7015905 -47.5095800 22.619 21.542 20.555 20.556 20.089 19.485 19.258 19.808
  124 201.7164865 -47.5095538 20.569 19.768 18.994 19.040 18.324 18.134 17.922 17.761
  125 201.7065423 -47.5095645 23.981 22.516 20.889 20.730 19.680 19.464 19.211 18.989
  126 201.7149583 -47.5095253 21.367 20.530 19.770 19.807 19.040 18.855 18.644 18.468
  127 201.7082808 -47.5095373 22.851 21.819 20.644 20.634 19.720 19.505 19.271 19.056
  128 201.7079351 -47.5095193 20.419 19.606 18.868 18.881 18.173 17.990 17.793 17.620
  129 201.7018568 -47.5095132 21.423 20.478 19.504 19.574 18.757 18.566 18.366 18.160
  130 201.7087662 -47.5094474 20.765 19.999 19.211 19.256 18.509 18.329 18.127 17.928
  131 201.7024720 -47.5094599 24.077 22.787 21.410 21.212 20.217 19.919 19.646 19.405
  132 201.7106538 -47.5094413 21.599 20.527 19.482 19.360 18.543 18.357 18.138 17.958
  133 201.7133822 -47.5094030 22.951 21.764 20.742 20.686 19.786 19.578 19.361 19.146
  134 201.7086365 -47.5094120 24.370 22.981 21.553 21.325 20.260 20.046 19.804 19.538
  135 201.7010402 -47.5094267 21.086 20.236 19.507 19.523 18.817 18.617 18.413 18.250
  136 201.7169966 -47.5093829 22.397 21.341 20.397 20.419 19.538 19.323 19.098 18.924
  137 201.7032233 -47.5093738 23.618 22.231 21.199 21.079 20.139 19.929 19.689 19.466
  138 201.7156931 -47.5093438 23.585 22.189 20.846 20.533 19.556 19.343 19.140 18.912
  139 201.7110930 -47.5093420 21.298 20.465 19.611 19.718 18.940 18.768 18.571 18.366
  140 201.7058133 -47.5093660 22.384 21.306 20.315 20.292 19.437 19.220 19.007 18.803
  141 201.7106756 -47.5093336 23.419 22.219 20.958 20.852 19.869 19.646 19.380 19.192
  142 201.7101373 -47.5093385 20.928 20.065 19.232 19.220 18.453 18.272 18.065 17.876
  143 201.7034888 -47.5093320 22.474 21.456 20.505 20.523 19.654 19.459 19.235 18.995
  144 201.7079271 -47.5093084 20.535 19.760 19.033 19.077 18.367 18.190 18.007 17.804
  145 201.7052277 -47.5093147 20.667 19.869 19.053 19.129 18.360 18.206 18.002 17.764
  146 201.7057670 -47.5092909 20.785 19.993 19.228 19.305 18.560 18.386 18.186 17.999
  147 201.7164843 -47.5092599 20.801 19.950 19.205 19.215 18.491 18.306 18.115 17.951
  148 201.7096608 -47.5092662 24.604 22.958 21.459 21.337 20.262 20.051 19.806 19.536
  149 201.7075267 -47.5092733 21.134 20.279 19.471 19.567 18.776 18.598 18.377 18.187
  150 201.7060935 -47.5092748 21.534 20.651 19.816 19.885 19.101 18.911 18.702 18.518
  151 201.7178500 -47.5092289 20.562 19.763 18.995 19.037 18.311 18.133 17.954 17.756
  152 201.7105172 -47.5092327 20.947 20.134 19.354 19.421 18.677 18.492 18.297 18.096
  153 201.7036413 -47.5092310 24.572 23.358 21.750 21.252 20.141 19.912 19.662 19.418
  154 201.7095099 -47.5092018 23.330 21.981 20.660 20.375 19.404 19.217 18.986 18.783
  155 201.7059961 -47.5092196 21.316 20.394 19.578 19.572 18.782 18.613 18.406 18.195
  156 201.7026971 -47.5092107 20.523 19.655 18.875 18.860 18.113 17.920 17.692 17.519
  157 201.7030549 -47.5091873 21.989 20.984 19.948 19.976 19.096 18.908 18.682 18.467
  158 201.7097410 -47.5091534 20.487 19.664 18.911 18.946 18.209 18.031 17.838 17.649
  159 201.7028392 -47.5091683 22.599 21.584 20.674 20.674 19.802 19.593 19.376 19.167
  160 201.7011656 -47.5091780 21.047 20.169 19.353 19.362 18.603 18.417 18.215 18.005
  161 201.7036723 -47.5091332 17.587 17.527 17.881 19.223 19.367 19.370 19.236 19.475
  162 201.7147723 -47.5090764 20.731 19.892 19.167 19.208 18.463 18.287 18.094 17.886
  163 201.7145798 -47.5090428 20.764 19.906 19.085 19.080 18.338 18.160 17.961 17.780
  164 201.7128785 -47.5090465 21.908 20.947 20.024 20.098 19.283 19.081 18.872 18.666
  165 201.7101331 -47.5090583 22.248 21.231 20.261 20.286 19.422 19.222 19.006 18.781
  166 201.7092115 -47.5090562 21.139 20.277 19.473 19.496 18.740 18.560 18.352 18.152
  167 201.7135727 -47.5090414 21.873 20.892 19.953 19.965 19.185 18.922 18.693 18.574
  168 201.7130615 -47.5090112 22.849 21.765 20.772 20.749 19.872 19.642 19.431 19.207
  169 201.7042587 -47.5090379 21.308 20.433 19.607 19.692 18.942 18.728 18.528 18.343
  170 201.7163618 -47.5089597 22.862 21.717 20.589 20.593 19.692 19.463 19.232 19.033
  171 201.7155754 -47.5089677 24.272 22.743 21.533 21.319 20.290 20.079 19.842 19.577
  172 201.7150665 -47.5089738 24.247 23.053 21.748 21.515 20.470 20.241 19.994 19.753
  173 201.7116384 -47.5089699 20.687 19.827 19.010 18.992 18.250 18.065 17.866 17.687
  174 201.7097917 -47.5089760 21.928 20.995 20.014 20.059 19.191 18.987 18.782 18.557
  175 201.7029833 -47.5089509 21.337 20.425 19.646 19.716 18.962 18.767 18.565 18.367
  176 201.7090770 -47.5089159 24.488 22.905 21.524 21.396 20.283 20.140 19.868 19.570
  177 201.7167782 -47.5088597 23.027 21.878 20.682 20.683 19.752 19.524 19.303 19.091
  178 201.7114224 -47.5088551 21.342 20.450 19.568 19.520 18.718 18.564 18.351 18.128
  179 201.7095418 -47.5088549 21.697 20.550 19.286 19.198 18.284 18.075 17.853 17.655
  180 201.7067158 -47.5088638 21.539 20.608 19.793 19.802 19.001 18.805 18.593 18.377
  181 201.7032215 -47.5088586 21.904 20.855 20.010 20.008 19.277 19.009 18.794 18.693
  182 201.7061368 -47.5088370 16.034 16.018 16.462 17.902 18.119 18.137 18.046 18.294
  183 201.7045564 -47.5088419 24.341 22.768 21.546 21.206 20.250 19.933 19.704 19.584
  184 201.7158710 -47.5087968 21.942 20.961 20.112 20.083 19.294 19.090 18.887 18.699
  185 201.7083277 -47.5088361 22.331 21.341 20.436 20.408 19.593 19.374 19.162 18.973
  186 201.7047425 -47.5088186 22.425 21.393 20.477 20.473 19.666 19.426 19.190 19.059
  187 201.7164000 -47.5087695 22.482 21.458 20.533 20.477 19.662 19.367 19.167 19.012
  188 201.7011253 -47.5087798 21.570 20.674 19.812 19.894 19.086 18.903 18.679 18.474
  189 201.7154295 -47.5087432 22.811 21.573 20.584 20.523 19.637 19.424 19.227 18.992
  190 201.7030416 -47.5087548 22.633 21.569 20.576 20.521 19.651 19.451 19.237 19.020
  191 201.7068904 -47.5087430 22.166 21.228 20.278 20.263 19.427 19.233 19.005 18.827
  192 201.7015017 -47.5087205 20.628 19.776 19.007 19.016 18.292 18.107 17.912 17.715
  193 201.7140617 -47.5086827 24.507 22.905 21.661 21.329 20.522 20.019 19.782 19.776
  194 201.7082190 -47.5086925 24.543 23.069 21.690 21.383 20.365 20.161 19.875 19.658
  195 201.7071762 -47.5086957 21.288 20.388 19.539 19.575 18.799 18.608 18.390 18.196
  196 201.7146109 -47.5086379 23.281 22.087 21.093 21.034 20.123 19.875 19.655 19.430
  197 201.7030484 -47.5086516 21.188 20.362 19.543 19.638 18.877 18.683 18.475 18.277
  198 201.7170246 -47.5086184 20.536 19.734 18.987 19.018 18.303 18.102 17.928 17.744
  199 201.7107450 -47.5086036 20.417 19.606 18.882 18.919 18.209 18.027 17.834 17.657
  200 201.7083578 -47.5085996 22.831 21.696 20.638 20.610 19.693 19.538 19.240 19.021
  201 201.7028181 -47.5086240 22.074 21.140 20.262 20.269 19.450 19.256 19.038 18.832
  202 201.7014698 -47.5086125 24.727 23.378 21.932 21.528 20.508 20.299 20.042 19.818
  203 201.7096563 -47.5085863 21.909 20.987 20.056 20.120 19.298 19.095 18.855 18.680
  204 201.7021013 -47.5085806 22.548 21.509 20.586 20.593 19.744 19.523 19.309 19.108
  205 201.7002686 -47.5085764 20.572 19.742 19.011 19.037 18.314 18.150 17.935 17.738
  206 201.7120299 -47.5085338 23.835 22.567 21.351 21.222 20.245 20.046 19.812 19.532
  207 201.7148910 -47.5084902 22.586 21.534 20.607 20.574 19.714 19.509 19.293 19.099
  208 201.7114309 -47.5084862 20.676 19.876 19.122 19.170 18.406 18.271 18.076 17.823
  209 201.7126973 -47.5084488 21.127 20.269 19.504 19.553 18.795 18.622 18.425 18.207
  210 201.7086878 -47.5084642 22.597 21.485 20.614 20.621 19.735 19.535 19.298 19.091
  211 201.7036378 -47.5084646 22.325 21.308 20.306 20.339 19.470 19.270 19.037 18.834
  212 201.7004084 -47.5084771 24.402 22.900 21.381 21.044 19.969 19.758 19.517 19.294
  213 201.7185475 -47.5084229 20.953 20.107 19.337 19.423 18.652 18.492 18.290 18.069
  214 201.7137449 -47.5084320 21.633 20.670 19.785 19.794 18.999 18.806 18.587 18.405
  215 201.7106504 -47.5084247 20.807 19.960 19.192 19.189 18.455 18.270 18.076 17.887
  216 201.7189026 -47.5083928 22.607 21.496 20.599 20.593 19.689 19.520 19.307 19.111
  217 201.7098951 -47.5083797 20.940 20.116 19.275 19.315 18.551 18.366 18.154 17.969
  218 201.7030853 -47.5083902 23.043 21.854 20.638 20.559 19.630 19.409 19.186 18.958
  219 201.7040655 -47.5083716 21.127 20.244 19.430 19.477 18.697 18.520 18.309 18.101
  220 201.7036362 -47.5084037 22.698 21.565 20.418 20.341 19.446 19.226 18.973 18.792
  221 201.7143968 -47.5082552 20.965 20.123 19.385 19.447 18.722 18.534 18.343 18.153
  222 201.7094528 -47.5082692 21.406 20.515 19.706 19.790 19.007 18.819 18.612 18.396
  223 201.7159118 -47.5082520 21.066 20.237 19.449 19.524 18.762 18.580 18.399 18.186
  224 201.7124729 -47.5082497 21.009 20.149 19.391 19.411 18.681 18.492 18.291 18.125
  225 201.7121733 -47.5082430 20.993 20.135 19.345 19.417 18.669 18.489 18.298 18.095
  226 201.7152446 -47.5082337 22.119 21.159 20.265 20.311 19.396 19.275 19.045 18.777
  227 201.7040864 -47.5082498 22.049 21.086 20.100 20.159 19.288 19.101 18.864 18.643
  228 201.7022299 -47.5082386 21.835 20.851 19.873 19.794 18.985 18.797 18.597 18.389
  229 201.6944420 -47.5082541 20.334 19.539 18.827 18.865 18.139 17.991 17.770 17.558
  230 201.7027925 -47.5082110 24.228 23.006 21.705 21.460 20.419 20.217 19.964 19.708
  231 201.7175670 -47.5081703 23.203 22.011 20.940 20.806 19.895 19.675 19.446 19.242
  232 201.7053637 -47.5082050 21.587 20.685 19.811 19.839 19.033 18.842 18.637 18.434
  233 201.7140987 -47.5081681 21.397 20.470 19.609 19.571 18.806 18.603 18.402 18.230
  234 201.7128477 -47.5081634 20.744 19.913 19.158 19.177 18.447 18.274 18.074 17.887
  235 201.7025805 -47.5081835 20.280 19.482 18.726 18.755 18.038 17.865 17.660 17.475
  236 201.7002062 -47.5081889 23.042 21.760 20.409 20.140 19.241 19.012 18.779 18.605
  237 201.7144128 -47.5081354 21.856 20.897 20.038 20.117 19.317 19.123 18.898 18.713
  238 201.7095868 -47.5081375 20.425 19.587 18.792 18.771 18.017 17.817 17.633 17.439
  239 201.7063441 -47.5081244 21.223 20.373 19.545 19.646 18.883 18.691 18.495 18.289
